year,P_t,pi_t
2000,118.716859205776,
2001,122.270780473329,2.99361126240087
2002,127.515042822885,4.28905608458075
2003,136.114113899981,6.74357384566804
2004,143.442139783044,5.38373697855331
2005,148.716411983788,3.67693357664685
2006,155.002172911548,4.22667602311791
2007,160.754901960784,3.71138606716126
2008,165.539486628793,2.97632271840519
2009,171.128591655858,3.376297184972
2010,177.264859462578,3.58576421820865
2011,182.007871203937,2.67566383756959
2012,187.866012643809,3.21861983282472
2013,193.965843258344,3.24690481726488
2014,196.530287405202,1.32211120462194
2015,198.777925809822,1.1436600608973
2016,202.809249331917,2.02805392282404
2017,207.531435597624,2.32838802040007
2018,212.844216123754,2.55998832698805
2019,216.729906948065,1.82560320175727
2020,224.31376869128,3.4992225346326
2021,229.155316774071,2.15838203380862
2022,234.359926269064,2.27121481109847
2023,243.19863859281,3.77142648252869
2024,252.622507845476,3.87496793041059
